dataset,muscle,mvc,participant,test
Violon,low. trap.,6.360179499887979e-05,0,2
Violon,low. trap.,1.199427680305364e-05,0,3
Violon,low. trap.,6.688553563505325e-06,0,4
Violon,low. trap.,5.1252388518803565e-05,0,5
Violon,low. trap.,6.113144226614664e-06,0,8
Violon,low. trap.,2.0337913971010876e-05,0,9
Violon,low. trap.,2.9304010042765843e-05,0,10
Violon,ant. delt.,0.00016214909563994816,0,2
Violon,ant. delt.,0.00020378568395281526,0,3
Violon,ant. delt.,0.00021819498274578683,0,4
Violon,ant. delt.,8.876885427086726e-05,0,5
Violon,ant. delt.,0.00033824651595414746,0,8
Violon,ant. delt.,0.00014038116885275526,0,9
Violon,ant. delt.,3.83486702086595e-05,0,10
Violon,mid. delt.,0.0002559423877778602,0,2
Violon,mid. delt.,0.00021017606492381336,0,3
Violon,mid. delt.,0.0003620514099897708,0,4
Violon,mid. delt.,0.00020765174753881963,0,5
Violon,mid. delt.,0.00041156915085208134,0,8
Violon,mid. delt.,0.00018347799974015717,0,9
Violon,mid. delt.,0.00012929849011391594,0,10
Violon,post. delt.,0.00030267414712437254,0,2
Violon,post. delt.,0.00012085593588635497,0,3
Violon,post. delt.,0.00019374509194643668,0,4
Violon,post. delt.,0.00015548055575899766,0,5
Violon,post. delt.,0.0002016261500516169,0,8
Violon,post. delt.,0.0001349985341989231,0,9
Violon,post. delt.,0.0001236013926762377,0,10
Violon,supra.,0.0004774277797741816,0,2
Violon,supra.,0.00011127073486541476,0,3
Violon,supra.,9.056340106871416e-05,0,4
Violon,supra.,0.0005430899094620524,0,5
Violon,supra.,0.00015428174752633172,0,8
Violon,supra.,0.00031051111603184187,0,9
Violon,supra.,0.0016653310137066863,0,10
Violon,infra.,6.090634972525599e-05,0,2
Violon,infra.,0.00026905998470541247,0,3
Violon,infra.,0.0001719184176174612,0,4
Violon,infra.,0.0009668813042887683,0,5
Violon,infra.,0.0002600439882108521,0,8
Violon,infra.,0.0002854435129103783,0,9
Violon,infra.,0.0003639887081553583,0,10
Violon,subscap.,3.372346747477695e-05,0,2
Violon,subscap.,0.00010043665342796928,0,3
Violon,subscap.,0.00013140831587722478,0,4
Violon,subscap.,0.00044665633764074173,0,5
Violon,subscap.,0.00016308064033907865,0,8
Violon,subscap.,0.00011549308474007538,0,9
Violon,subscap.,0.00016718429826939065,0,10
Violon,low. trap.,1.8715088841404265e-05,1,2
Violon,low. trap.,9.527409566123634e-06,1,3
Violon,low. trap.,5.333310304126107e-06,1,4
Violon,low. trap.,2.3620902196091724e-05,1,5
Violon,low. trap.,8.701956835968043e-06,1,8
Violon,low. trap.,5.68142015616486e-06,1,9
Violon,low. trap.,7.768998442028923e-06,1,10
Violon,ant. delt.,0.00027575356669315453,1,2
Violon,ant. delt.,0.00022691647997744963,1,3
Violon,ant. delt.,0.00033964785659257985,1,4
Violon,ant. delt.,0.000228005205098046,1,5
Violon,ant. delt.,0.00020834405366786609,1,8
Violon,ant. delt.,0.00012868382301094324,1,9
Violon,ant. delt.,2.149676684864139e-05,1,10
Violon,mid. delt.,9.690525648206182e-05,1,2
