dataset,participant,muscle,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Landry2012,0,ant. delt.,0.014781450919754068,0.08636381675625456,0.1316290247205414,0.28863399221513025,0.24679446509065153,0.010781239373524975,0.01224295684363396,0.03760360435621544,,,,,,,,
Landry2012,0,lat. dors.,0.004435300089880385,0.08484814803795496,0.023248968939156754,0.029152213173631814,0.02601394801835636,0.1750202239319751,0.15943045927672755,0.07318148762184451,,,,,,,,
Landry2012,0,low. trap.,0.028220535209049838,0.26237215859258556,0.36837283419299455,0.20478188175501968,0.22387181257620326,0.08807802446003155,0.15558011942190025,0.023180681794864783,,,,,,,,
Landry2012,0,mid. delt.,0.033599152980715835,0.16202274386605403,0.2032642619934807,0.10173200603631037,0.13785568946937404,0.0467013177964178,0.011675073455255282,0.013535147818184748,,,,,,,,
Landry2012,0,mid. trap.,0.011623216919419296,0.1681360413499034,0.16797055556037715,0.04857331424890711,0.07100837887869957,0.059345758768516034,0.04506922180901916,0.018796299799536037,,,,,,,,
Landry2012,0,pec. maj.,0.002286957047728167,0.004793091973181518,0.005454845082959736,0.008783116896767498,0.010073794112226513,0.0067465111361164395,0.06946415283660129,0.24319792357071468,,,,,,,,
Landry2012,0,post. delt.,0.015439099161533448,0.2079723514329308,0.18123080665772376,0.09364085620347634,0.09693896636313658,0.09929629332798859,0.0380632676072278,0.035615657645233174,,,,,,,,
Landry2012,0,upp. trap.,0.05156304117624103,0.08064523128833362,0.07226329493113265,0.09747544027870333,0.12679702138573415,0.03657255655803644,0.020261144741371667,0.014175142888991047,,,,,,,,
Landry2012,1,ant. delt.,0.34408043333424154,0.04723065171738368,0.13721925171596389,0.3549693862799794,0.3388686425615979,0.08664534980651917,0.00894892240165097,0.1921300873954311,,,,,,,,
Landry2012,1,lat. dors.,0.014684964996726326,0.09199376089802469,0.04212655385338801,0.0159987587911097,0.017202215454613243,0.1884851384224145,0.1451387011447383,0.04704412930486802,,,,,,,,
Landry2012,1,low. trap.,0.09850160790779372,0.11104248487064536,0.13385759507858674,0.07568172975029752,0.08835834364023093,0.14838046610304462,0.11800290670622623,0.0676324656775514,,,,,,,,
Landry2012,1,mid. delt.,0.123837072152257,0.12184113175701082,0.14820018462214385,0.08775869647070138,0.16416895947747057,0.19416026405080972,0.010700650193310129,0.015622966609434599,,,,,,,,
Landry2012,1,mid. trap.,0.2741258781634875,0.2498521110658516,0.2905233400890456,0.23827209996967397,0.299636695149223,0.271928257599152,0.1246173295905928,0.10451514896542798,,,,,,,,
Landry2012,1,pec. maj.,0.009877314508532267,0.004123910251186257,0.005972743326087125,0.04503557057795071,0.009642947359159569,0.005280144823615545,0.08342365711751319,0.289277415864739,,,,,,,,
Landry2012,1,post. delt.,0.06087381233337613,0.19884032341345043,0.14558298103867132,0.04869978148262892,0.09750144721685061,0.21706410348269073,0.10001046240996014,0.024993589664948614,,,,,,,,
Landry2012,1,upp. trap.,0.35449263872142306,0.26320669698195315,0.29087342608344047,0.3013568592727771,0.3598183344684488,0.25109260765221647,0.01875485945876509,0.07053624475082046,,,,,,,,
Landry2012,2,ant. delt.,0.17286935234342257,0.13345193756269955,0.20669045068844555,0.35123803702751333,0.22166862532352172,0.016775536027865322,0.012650030297770497,0.22931033004874937,,,,,,,,
Landry2012,2,lat. dors.,0.019168309405535135,0.05732129128003046,0.04783799432530285,0.033325142421367956,0.02104058336784517,0.13267211140212398,0.13443523770953594,0.05039799545572329,,,,,,,,
Landry2012,2,low. trap.,0.15844626671346168,0.27358434224264316,0.2623154727840863,0.2871147507520128,0.21139076077838032,0.055540532477483556,0.1313303221749385,0.15047624793796094,,,,,,,,
Landry2012,2,mid. delt.,0.13169742328919531,0.19347148846188938,0.18521896827578044,0.08573553485338331,0.1343808155189825,0.10469316151992963,0.05385560481255475,0.03397328501645581,,,,,,,,
Landry2012,2,mid. trap.,0.18018711138025634,0.2971978265441844,0.30159333903920915,0.29969570249169747,0.3125801383615747,0.054138958927113845,0.12995700186281162,0.1530082975849853,,,,,,,,
Landry2012,2,pec. maj.,0.007957968247139822,0.006651444146506355,0.006569973492486664,0.011659764128740337,0.006613058199567258,0.04209752894377305,0.1234259808334056,0.1707738034739698,,,,,,,,
Landry2012,2,post. delt.,0.030365203144976295,0.12222138504226163,0.11045776773460544,0.059122848682422055,0.06663846653425332,0.14264409921392962,0.09962034108826545,0.04764397618529906,,,,,,,,
Landry2012,2,upp. trap.,0.25646692864316806,0.29242556521910834,0.29293568665747166,0.240593423556745,0.2575268307576944,0.06393223681431168,0.034821271192078396,0.03249531856560703,,,,,,,,
Landry2012,3,ant. delt.,0.2118303821958326,0.09799423283445699,0.194769267549298,0.1699309562971998,0.22322394711935692,0.03341312219572412,0.024580342920270053,0.09822947684571562,,,,,,,,
Landry2012,3,lat. dors.,0.022850487860886406,0.018708517492504424,0.016316275900706775,0.02081693728687324,0.017607130015303417,0.05833773341839725,0.06196455105906293,0.016216319325600612,,,,,,,,
Landry2012,3,low. trap.,0.09217064510909373,0.17109997792618403,0.14516305589485623,0.07883500803970167,0.0942810398937196,0.09503051742659384,0.08730997406188401,0.0571714565999753,,,,,,,,
Landry2012,3,mid. delt.,0.11981115157232872,0.14451797464251373,0.14492960568976693,0.1435772448170073,0.1855333156194858,0.10431525083022855,0.07366114392505221,0.04218830111008603,,,,,,,,
Landry2012,3,mid. trap.,0.08758118539081161,0.2296021620114562,0.08853586018240718,0.13608717708441043,0.1826228281273512,0.15419181098063456,0.11659651530313872,0.06768541479840066,,,,,,,,
Landry2012,3,pec. maj.,0.013660238067284593,0.010086724619635635,0.0115812729330499,0.029770644623531628,0.016051355527755103,0.016561441919894768,0.020561724130316386,0.07192531923273268,,,,,,,,
Landry2012,3,post. delt.,0.09393185607955083,0.09751465946711631,0.07360772164676119,0.08381859689887433,0.09240140188778645,0.09540107636486388,0.10056975731078588,0.039670754923172694,,,,,,,,
Landry2012,3,upp. trap.,0.11498810935334255,0.10136402012944029,0.08162427307518197,0.05673513509306474,0.06566721381174699,0.033228627370283856,0.031834137329130416,0.0673362181781241,,,,,,,,
Landry2012,4,ant. delt.,0.24691169779938876,0.17880298179882728,0.2423652647044739,0.20844500685714595,0.22869934004143405,0.06073254823422991,0.04720400045855515,0.12698159547057325,,,,,,,,
Landry2012,4,lat. dors.,0.06462521168571578,0.26880782890700805,0.1263539378561758,0.11428578082928566,0.07934463659090414,0.497382884615132,0.3992934695933767,0.04028054706186841,,,,,,,,
Landry2012,4,low. trap.,0.36418044551080386,0.4513044339891251,0.5598339048928628,0.39670089076544157,0.36713636787368586,0.06464821859409947,0.3161251483740758,0.19967013115279353,,,,,,,,
Landry2012,4,mid. delt.,0.25555535730176493,0.3039997857083036,0.3009666251771816,0.16933844836963766,0.19882341131723452,0.24389033142968808,0.17415806604480005,0.03952665384583996,,,,,,,,
Landry2012,4,mid. trap.,0.385228322164383,0.42918543604799886,0.36032149768343724,0.2743559520858986,0.3860658932973166,0.17867881202708297,0.2999617051679185,0.06690775799107485,,,,,,,,
Landry2012,4,pec. maj.,0.009084518860204987,0.018125361548030797,0.011713455187839429,0.01714626674350575,0.010779961889181757,0.026764380709740555,0.08242978337674431,0.0869243353185209,,,,,,,,
Landry2012,4,post. delt.,0.2256526863416407,0.4284328330640732,0.2393920941811733,0.09276563249811562,0.07360974178448516,0.4979922980654657,0.38907254436014377,0.03217094920908186,,,,,,,,
Landry2012,4,upp. trap.,0.23186055072717013,0.3498605352370907,0.40050276769843707,0.18991490287233884,0.25098732471862284,0.11341540601341382,0.07999748232352812,0.02759139227744329,,,,,,,,
Landry2012,5,ant. delt.,0.34353133850366147,0.26419601712307045,0.39135179867666653,0.6115331650030091,0.3889619456228754,0.0608059267210161,0.029217932145387687,0.3927493195240469,,,,,,,,
Landry2012,5,lat. dors.,0.020549393834845803,0.12640875755377648,0.03135427631715214,0.01782402641254857,0.019368371103778703,0.19160942160501748,0.20026350281460611,0.031583749037553344,,,,,,,,
Landry2012,5,low. trap.,0.1479290897259502,0.15022327191130252,0.16517097215447257,0.18029149552300738,0.15280412412303554,0.10773342857994615,0.15635470447814373,0.11485357949469163,,,,,,,,
Landry2012,5,mid. delt.,0.1392254598464028,0.17327685819606714,0.16796116544241543,0.1314210914855541,0.162164082830285,0.11120168849831522,0.027419827939157954,0.040480433846601924,,,,,,,,
Landry2012,5,mid. trap.,0.3557079853930272,0.44198634481811794,0.4999932550245282,0.5180073295056067,0.4289914485936822,0.2606792435384018,0.3473775698258936,0.21236365139336533,,,,,,,,
Landry2012,5,pec. maj.,0.013022239258577057,0.006695415631630454,0.006872672045666093,0.043085502816440524,0.012991763382272764,0.014102727252589719,0.12028638234588325,0.18848987953469692,,,,,,,,
Landry2012,5,post. delt.,0.07005996480272017,0.49554570928930364,0.357060713453327,0.10571567368658637,0.2513315633171406,0.582373885077344,0.31624802543054875,0.03387871124881729,,,,,,,,
Landry2012,5,upp. trap.,0.48791038013783805,0.6119665485564931,0.474445464919369,0.38918538111759016,0.3415986829065207,0.12480209260383748,0.03647857746970962,0.028717587515301728,,,,,,,,
Landry2012,6,ant. delt.,0.9762587710502938,0.6933239456220173,0.858825457550591,1.1088317274879727,1.011129074433744,0.0980560374633067,0.04159482357490725,0.6304024174445424,,,,,,,,
Landry2012,6,lat. dors.,0.021006415981965475,0.03765318370886117,0.03461078611951597,0.021949566138083267,0.02394486298143433,0.1591225692741567,0.2832293157650738,0.022347586598471976,,,,,,,,
Landry2012,6,low. trap.,0.5745840441977346,0.7372771958653457,0.6959936233211776,0.47321798551949934,0.5379749802399717,0.16345908048900332,0.32790234111741434,0.3382717523234571,,,,,,,,
Landry2012,6,mid. delt.,0.2937875389122615,0.41161617389745886,0.3737979257266043,0.36655031101083524,0.2741774641512682,0.30782373516130546,0.23084576581725896,0.16479052040368572,,,,,,,,
Landry2012,6,mid. trap.,0.6862299565358785,0.8754531348048091,0.6488835862401275,0.40185769626841583,0.44329544097479057,0.19648351371575218,0.2386734478669253,0.134715164488352,,,,,,,,
Landry2012,6,pec. maj.,0.01480321927334017,0.00572175006367618,0.009410440022403889,0.05942718554298261,0.009490635989630975,0.016161800434655614,0.1355413887033055,0.354370544512402,,,,,,,,
Landry2012,6,post. delt.,0.10602837947369058,0.5876201920473596,0.303918305171625,0.10831651958840302,0.27598034448446723,1.1278415129970774,0.9947932928200489,0.03864588647888038,,,,,,,,
Landry2012,6,upp. trap.,0.7999416491750001,0.7267946865458855,0.6884710680638968,0.23917408491047526,0.29377135404544863,0.2887855358429956,0.15971553143524203,0.06984080666947298,,,,,,,,
Landry2012,7,ant. delt.,0.4846816939248759,0.39122615931118476,0.4023856538618009,0.5404025997357313,0.5032419054630201,0.03873853750464379,0.014934025447144257,0.2936390116901049,,,,,,,,
Landry2012,7,lat. dors.,0.020140674292051977,0.02033954806811024,0.025746550349880708,0.022199368734759507,0.02060347736701821,0.1298312973794037,0.09262640381982684,0.012268321326115333,,,,,,,,
Landry2012,7,low. trap.,0.10436113779681175,0.28910895513207574,0.2436539686948498,0.07481586772012255,0.06255930992267034,0.10080878095006712,0.08368672994759788,0.057986732379729525,,,,,,,,
Landry2012,7,mid. delt.,0.28222794385488204,0.3516261840845605,0.30474636599679705,0.29721583583787137,0.3497720438915662,0.18318977563491184,0.02963997704237716,0.038872086827749085,,,,,,,,
Landry2012,7,mid. trap.,0.5362883154795877,0.6672350637817309,0.5750165718230822,0.6420434688087737,0.4451599944770229,0.06005444174339529,0.034654126590666315,0.3881062430159611,,,,,,,,
Landry2012,7,pec. maj.,0.04229061504693616,0.04543807505158261,0.013174488083817588,0.02138323626192967,0.01828333003793057,0.024388628185352222,0.07954342698040691,0.07967113552678426,,,,,,,,
Landry2012,7,post. delt.,0.04767445381853232,0.08825776797033338,0.08301978699148876,0.057625145703116235,0.054305311970635955,0.16045387657481636,0.16186848010773186,0.03579483299861856,,,,,,,,
Landry2012,7,upp. trap.,0.5944563554736957,0.5004455242809058,0.44093633321353015,0.48469237716093483,0.5159782260554314,0.15929510091176133,0.04036045790189466,0.3170190963381042,,,,,,,,
Landry2012,8,ant. delt.,0.19585490006346842,0.04597976549439628,0.23564884896623964,0.3973082629388983,0.2458470933085179,0.015271427140021953,0.010659221572077018,0.3546399159704188,,,,,,,,
Landry2012,8,lat. dors.,0.009292218709592296,0.03675968895295228,0.015398800413445903,0.014378990716731295,0.01112034959585166,0.09107119108069109,0.08560191501722231,0.019864549888138364,,,,,,,,
Landry2012,8,low. trap.,0.24153812603924213,0.36334029211267604,0.310302199286333,0.2855702854071935,0.2589053057122138,0.10844339991538957,0.206425979937591,0.21235846669933034,,,,,,,,
Landry2012,8,mid. delt.,0.23970481105285302,0.25454228001137635,0.25380303822919453,0.29951944509768674,0.2485188899561312,0.12659746811553485,0.020264159954807525,0.1444022652616434,,,,,,,,
Landry2012,8,mid. trap.,0.09736569573308324,0.2682969303617022,0.24032567086785228,0.19748542712735523,0.2137442396137157,0.16461671615758688,0.15891611298787542,0.12088775595515297,,,,,,,,
Landry2012,8,pec. maj.,0.0070242873478811065,0.006549835862098996,0.007180167331180149,0.0394541361484343,0.009070781406074202,0.01727329650263517,0.1285511261714553,0.11777322302831782,,,,,,,,
Landry2012,8,post. delt.,0.06035644322210653,0.2798356939427277,0.07134296433895243,0.059325947800938986,0.08758383241311059,0.25292948783564273,0.19207218280082475,0.04397343708608717,,,,,,,,
Landry2012,8,upp. trap.,0.5481036610700044,0.38015157063141697,0.3739737792251412,0.2565875972682558,0.3554919191566941,0.031547393890474645,0.009129165781478881,0.15595166116669607,,,,,,,,
Landry2012,9,ant. delt.,0.13820130963803623,0.1537995952134873,0.20769578514038223,0.2125851506269439,0.20817782101444507,0.020733457235537968,0.011748290525877246,0.13889247415381967,,,,,,,,
Landry2012,9,lat. dors.,0.020981552907196877,0.06217857806451916,0.06920835120839561,0.03197957636432396,0.018122582910159276,0.08407416923651559,0.0719839237780759,0.013097175450499658,,,,,,,,
Landry2012,9,low. trap.,0.07869677804490824,0.2723916716221412,0.2909486193939507,0.16909141650300724,0.13239991605191964,0.07633289500992067,0.0884124704473322,0.14217894498462313,,,,,,,,
Landry2012,9,mid. delt.,0.09700509025638826,0.08837163344664332,0.11829149097676256,0.12051190824364691,0.08918626010192836,0.11329052343297705,0.04180154521276855,0.07385298370855317,,,,,,,,
Landry2012,9,mid. trap.,0.16927766233144015,0.2872703464316677,0.2695774242405774,0.2672003438177314,0.2190519080631058,0.12373216811555973,0.12429490032761742,0.15913882169410326,,,,,,,,
Landry2012,9,pec. maj.,0.01922786976930349,0.00978642063661273,0.01463483388334141,0.03871794765120655,0.03659508313886528,0.023730179142350413,0.04364411202318161,0.13150078452826275,,,,,,,,
Landry2012,9,post. delt.,0.03451268344005015,0.11489560346486613,0.06443246942729189,0.0649246320728522,0.03841547484717031,0.19584066886223606,0.13042976470651443,0.025292204273469617,,,,,,,,
Landry2012,9,upp. trap.,0.309122256278462,0.23665263179397666,0.30720545782172354,0.3080714686437038,0.2631987256372082,0.10190063994520246,0.07144680838488213,0.0860026295679597,,,,,,,,
